input_text,target_text,style,original
convert to professional: I left my umbrella at the office.,I accidentally left my umbrella at the office premises.,professional,I left my umbrella at the office.
convert to professional: I’m writing a blog about my travel experiences.,I’m composing a blog post detailing my travel experiences.,professional,I’m writing a blog about my travel experiences.
convert to polite: She shared her lunch with a stray cat.,She kindly shared her lunch with a stray cat she met.,polite,She shared her lunch with a stray cat.
convert to professional: They painted together without speaking a word.,"They collaborated in silence, letting their art communicate instead of words.",professional,They painted together without speaking a word.
convert to polite: I forgot to bring my lunch.,"Unfortunately, I seem to have forgotten my lunch.",polite,I forgot to bring my lunch.
convert to polite: They smiled through the rain knowing flowers needed it too.,"They found comfort in the rain, understanding it nourishes what’s to come.",polite,They smiled through the rain knowing flowers needed it too.
convert to social: They laughed so hard their drinks turned into confetti.,They laughed so hard their drinks turned into confetti. 😂🥤 #GoodTimes #FunMoments,social,They laughed so hard their drinks turned into confetti.
"convert to professional: I'm so sorry, I totally spaced on our meeting.",Please accept my sincerest apologies; our meeting completely slipped my mind.,professional,"I'm so sorry, I totally spaced on our meeting."
"convert to professional: He brought an umbrella, so of course it didn’t rain.","He carried an umbrella, ensuring that the weather remained perfectly clear.",professional,"He brought an umbrella, so of course it didn’t rain."
convert to polite: They high-fived after surviving Monday.,They congratulated each other cheerfully for making it through Monday’s demands.,polite,They high-fived after surviving Monday.
"convert to casual: The supplier increased their prices by 15% without any notice, which is going to seriously impact our project budget","The supplier raised prices 15% without telling us, which will mess up our budget",casual,"The supplier increased their prices by 15% without any notice, which is going to seriously impact our project budget"
convert to casual: I am very proud of what we have achieved together.,I'm so proud of what we've done together.,casual,I am very proud of what we have achieved together.
convert to professional: Text me when you get home safely.,Please send me a message upon your safe arrival home.,professional,Text me when you get home safely.
convert to casual: The new dashboard prototype is ready for testing.,Dashboard prototype’s ready—time to test!,casual,The new dashboard prototype is ready for testing.
convert to casual: I’m painting my room light blue this weekend.,Painting my room light blue this weekend!,casual,I’m painting my room light blue this weekend.
convert to casual: It's raining really hard outside.,"Wow, it’s pouring out there!",casual,It's raining really hard outside.
"convert to casual: This is a very serious accusation, and you need to have proof.",That's a serious accusation. You better have proof.,casual,"This is a very serious accusation, and you need to have proof."
convert to polite: I’m cleaning out my old phone gallery.,I’m organizing my old phone gallery to free up some space.,polite,I’m cleaning out my old phone gallery.
convert to professional: She made friendship bracelets for everyone in class.,She created handmade friendship bracelets for all her classmates.,professional,She made friendship bracelets for everyone in class.
